PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Tumentemur, G; Aygun, EG; Yurtsever, B; Cakirsoy, D; Ovali, E				Tumentemur, Gamze; Aygun, Elif Ganime; Yurtsever, Bulut; Cakirsoy, Didem; Ovali, Ercument			Effect of amniotic fluid on hair follicle growth	JOURNAL OF DERMATOLOGICAL TREATMENT																															0954-6634	1471-1753				DEC 31	2025	36	1							2451389	10.1080/09546634.2025.2451389	http://dx.doi.org/10.1080/09546634.2025.2451389								39827901					WOS:001401091900001
J	Shang, PP; Xiang, Y; Xing, CC; Chen, SH; Yuan, F				Shang, Panpan; Xiang, Yu; Xing, Chenchen; Chen, Sihao; Yuan, Feng			Procyanidin-crosslinked gradient silk fibroin composite nanofiber scaffold with sandwich structure for rotator cuff repair	BIOMATERIALS ADVANCES																																2772-9508				APR	2025	169								214183	10.1016/j.bioadv.2025.214183	http://dx.doi.org/10.1016/j.bioadv.2025.214183								39813740					WOS:001401177600001
J	Liang, WN; Li, Y; Lei, S; Chen, R; Shi, HC; Li, FM; Liao, ZY; Zhong, C; She, YL				Liang, Wannian; Li, Yang; Lei, Si; Chen, Rui; Shi, Huacai; Li, Feimeng; Liao, Zhiyuan; Zhong, Chao; She, Yanling			<i>Astragalus</i> polysaccharide mediates lnc-GD2H to regulate proliferation and differentiation of C2C12 muscle cells under hypoxic condition	TISSUE & CELL																															0040-8166					APR	2025	93								102731	10.1016/j.tice.2025.102731	http://dx.doi.org/10.1016/j.tice.2025.102731								39823705					WOS:001401021800001
J	Shomer, I; Mor, N; Raviv, S; Budick-Harmelin, N; Matchevich, T; Avkin-Nachum, S; Rais, Y; Haffner-Krausz, R; Haimovich, A; Ziv, A; Fluss, R; Heimer, G; Silachev, DN; Katanaev, VL; Dominissini, D				Shomer, Inna; Mor, Nofar; Raviv, Shaul; Budick-Harmelin, Noga; Matchevich, Tanya; Avkin-Nachum, Sharon; Rais, Yoach; Haffner-Krausz, Rebecca; Haimovich, Ariela; Ziv, Aviv; Fluss, Reut; Heimer, Gali; Silachev, Denis N.; Katanaev, Vladimir L.; Dominissini, Dan			Personalized allele-specific antisense oligonucleotides for GNAO1-neurodevelopmental disorder	MOLECULAR THERAPY NUCLEIC ACIDS																															2162-2531					MAR 11	2025	36	1							102432	10.1016/j.omtn.2024.102432	http://dx.doi.org/10.1016/j.omtn.2024.102432													WOS:001401126700001
J	Goodis, CC; Eberly, C; Chan, AM; Kim, M; Lowe, BD; Civin, CI; Fletcher, S				Goodis, Christopher C.; Eberly, Christian; Chan, Alexandria M.; Kim, Minjung; Lowe, Brandon D.; Civin, Curt I.; Fletcher, Steven			The polypharmacy combination of the BCL-2 inhibitor venetoclax (VEN) and the FLT3 inhibitor gilteritinib (GIL) is more active in acute myeloid leukemia cells than novel polypharmacologic BCL-2/FLT3 VEN-GIL hybrid single-molecule inhibitors	EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY																															0223-5234	1768-3254				MAR 5	2025	285								117190	10.1016/j.ejmech.2024.117190	http://dx.doi.org/10.1016/j.ejmech.2024.117190								39813774					WOS:001400945800001
J	Fotopoulou, F; Rodríguez-Correa, E; Dussiau, C; Milsom, MD				Fotopoulou, Foteini; Rodriguez-Correa, Esther; Dussiau, Charles; Milsom, Michael D.			Reconsidering the usual suspects in age-related hematologic disorders: is stem cell dysfunction a root cause of aging?	EXPERIMENTAL HEMATOLOGY																															0301-472X	1873-2399				MAR	2025	143								104698	10.1016/j.exphem.2024.104698	http://dx.doi.org/10.1016/j.exphem.2024.104698								39725143					WOS:001400975500001
J	Guirguis, AA				Guirguis, Andrew Adel			RNA methylation: where to from here for hematologic malignancies?	EXPERIMENTAL HEMATOLOGY																															0301-472X	1873-2399				MAR	2025	143								104694	10.1016/j.exphem.2024.104694	http://dx.doi.org/10.1016/j.exphem.2024.104694								39647657					WOS:001400992200001
J	Cuzzuol, GRF; Venancio, FCD; Pezzopane, JEM; Toledo, JV				Cuzzuol, Geraldo Rogerio Faustini; Venancio, Felipe Cassa Duarte; Pezzopane, Jose Eduardo Macedo; Toledo, Joao Vitor			Climate change compromises leaf units and lignin content in sun-tolerant <i>Paubrasilia echinata</i> plants	NEW FORESTS																															0169-4286	1573-5095				MAR	2025	56	2							23	10.1007/s11056-025-10093-x	http://dx.doi.org/10.1007/s11056-025-10093-x													WOS:001401720500001
J	Chen, K; Rui, K; Si, WH; Wang, HA; Zhao, C; Yan, Y; Lin, HJ; Zhu, JX				Chen, Ke; Rui, Kun; Si, Wenhao; Wang, Huinan; Zhao, Cong; Yan, Yan; Lin, Huijuan; Zhu, Jixin			Grid shielding of interphase hybrids via spatial charge separation for regulating interfacial Zn redox kinetics	CHEMICAL ENGINEERING JOURNAL																															1385-8947	1873-3212				FEB 1	2025	505								159119	10.1016/j.cej.2024.159119	http://dx.doi.org/10.1016/j.cej.2024.159119													WOS:001400183600001
J	Arias, A; Builes, N; Niño-Serna, L; Diaz, A; Aristizabal, BH; Trujillo, M				Arias, Andres; Builes, Natalia; Nino-Serna, Laura; Diaz, Alejandro; Aristizabal, Beatriz H.; Trujillo, Monica			CMV Reactivation Following Allogeneic Transplantation in Children From a High-Seroprevalence Population: A Single-Center Experience in Colombia	PEDIATRIC TRANSPLANTATION																															1397-3142	1399-3046				FEB	2025	29	1							e70033	10.1111/petr.70033	http://dx.doi.org/10.1111/petr.70033								39837777					WOS:001402896400001
